Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
,Las Colonias,Plaza Matilde,--,,--,--,--,,--,,--
,Las Colonias,Progreso,,,--,--,,,SI,,--
SANTA FE,,Providencia,--,--,,--,SI,--,,SI,
SANTA FE,,,SI,--,,,--,--,,SI,
SANTA FE,Las Colonias,,--,--,--,,SI,SI,SI,,--
SANTA FE,,San Carlos Centro,SI,SI,,SI,SI,SI,,SI,--
SANTA FE,Las Colonias,San Carlos Norte,,SI,--,--,,--,SI,SI,
,Las Colonias,San Carlos Sud,,,--,--,SI,,SI,SI,
SANTA FE,,,--,--,,,SI,SI,,SI,--
SANTA FE,Las Colonias,,SI,--,--,,SI,SI,SI,,--
,Las Colonias,San Mariano,,,--,--,,,SI,--,--
,Las Colonias,Santa Clara de Buena Vista,--,,--,--,SI,,SI,--,
SANTA FE,,,--,--,,,SI,--,,SI,--
SANTA FE,,Classon,--,--,,SI,SI,SI,,,--
SANTA FE,,,--,--,,--,--,--,,SI,
SANTA FE,Iriondo,,SI,SI,--,,SI,SI,SI,SI,--
,Iriondo,Larguía,--,,--,--,--,,--,,--
SANTA FE,Iriondo,Lucio V. López,,SI,--,--,,--,SI,SI,--
SANTA FE,Iriondo,,SI,--,--,,SI,SI,--,--,
SANTA FE,,,--,SI,,,SI,SI,,SI,
SANTA FE,Iriondo,,SI,--,--,,SI,SI,SI,SI,
SANTA FE,,Serodino,SI,--,,SI,SI,--,,SI,
SANTA FE,Iriondo,Totoras,,--,--,SI,,SI,SI,,--
,Iriondo,Villa Eloísa,,,--,SI,SI,,SI,,--
,Iriondo,Villa La Rivera (Oliveros),--,,--,--,--,,--,SI,
,Iriondo,Villa La Rivera (Pueblo Andino),,,--,--,,,--,SI,SI
SANTA FE,,Angel Gallardo,--,--,,--,SI,SI,,,--
SANTA FE,,,SI,--,,,SI,SI,,,--
SANTA FE,Rosario,Funes,,,--,SI,,SI,SI,SI,SI
,Rosario,General Lagos,SI,,--,SI,SI,,SI,SI,
SANTA FE,,,--,SI,,SI,SI,SI,,SI,--
SANTA FE,Rosario,,--,SI,--,,SI,SI,SI,,--
,Rosario,Kilómetro 101,--,,--,--,SI,,--,SI,SI
SANTA FE,Rosario,Los Muchachos - La Alborada,,--,--,--,,--,--,--,
,Rosario,Monte Flores,,,--,--,,,--,,--
,Rosario,Pérez,SI,,--,SI,SI,,SI,SI,SI
SANTA FE,,,--,SI,,,SI,--,,--,
SANTA FE,,Pueblo Esther,SI,--,,SI,SI,SI,,--,SI
,Rosario,Pueblo Muñoz (Est. Bernard),--,,--,--,SI,,SI,,--
SANTA FE,Rosario,Pueblo Uranga,,--,--,SI,,,SI,,--
SANTA FE,Rosario,Puerto Arroyo Seco,,--,--,--,,--,--,--,--
,Rosario,Rosario,,,SI,SI,,,SI,SI,
SANTA FE,Rosario,,SI,SI,--,,SI,SI,SI,--,--
SANTA FE,,,SI,SI,,,--,--,,,--
SANTA FE,,Villa del Plata,--,SI,,--,--,--,,--,
SANTA FE,,,SI,SI,,,SI,SI,SI,SI,--
,Rosario,Zavalla,SI,,--,--,SI,,SI,,--
SANTA FE,San Cristóbal,Aguará Grande,,--,--,--,,--,--,SI,SI
SANTA FE,,,--,--,,,SI,--,,SI,
SANTA FE,,Arrufo,SI,SI,,SI,SI,SI,,--,
,San Cristóbal,Balneario La Verde,,,--,--,,,--,,SI
SANTA FE,San Cristóbal,Capivara,,--,--,--,,--,--,,SI
SANTA FE,,,SI,SI,,,SI,SI,,SI,--
SANTA FE,San Cristóbal,,--,--,--,,--,--,--,SI,
SANTA FE,San Cristóbal,,SI,--,--,,SI,--,,,--
SANTA FE,,Colonia Rosa,--,--,,--,SI,--,,,--
,San Cristóbal,Constanza,,,--,--,,--,SI,--,
,San Cristóbal,Curupaity,--,,--,--,--,,--,SI,
SANTA FE,,Hersilia,--,SI,,--,SI,SI,,SI,--
SANTA FE,,,--,--,,,SI,--,,,--
SANTA FE,,,--,--,,,--,--,,SI,
SANTA FE,San Cristóbal,,--,--,--,,--,--,--,--,
,San Cristóbal,La Rubia,,,--,--,,,SI,,--
SANTA FE,San Cristóbal,Las Avispas,,--,--,--,,--,--,,--
,San Cristóbal,Las Palmeras,,,--,--,,--,SI,SI,--
,San Cristóbal,Moisés Ville,SI,,--,SI,SI,,SI,SI,
SANTA FE,San Cristóbal,,--,--,--,,SI,SI,,,--
SANTA FE,,Ñanducita,--,--,,--,--,--,,,--
,San Cristóbal,Palacios,SI,,--,SI,SI,,--,SI,
,San Cristóbal,San Cristóbal,,,--,SI,,,SI,SI,SI
SANTA FE,San Cristóbal,,SI,SI,--,,SI,SI,SI,,--
SANTA FE,,,--,--,,,--,--,,SI,--
SANTA FE,San Cristóbal,Soledad,,--,--,--,,--,SI,SI,
,San Cristóbal,Suardi,,,--,SI,,,SI,--,--
,San Cristóbal,Villa Saralegui,--,,--,--,SI,,--,SI,--
SANTA FE,San Cristóbal,Villa Trinidad,,--,--,--,,,SI,,--
SANTA FE,,Alejandra,--,--,,--,SI,--,,SI,SI
SANTA FE,San Javier,,--,--,,,SI,--,SI,SI,
,San Javier,Colonia Durán,,,--,--,,,--,,SI
,San Javier,La Brava,--,,--,--,SI,,--,,--
,San Javier,Romang,--,,--,SI,SI,,SI,SI,
SANTA FE,San Javier,San Javier,,SI,--,SI,,SI,SI,SI,--
SANTA FE,,Arocena,--,SI,,,SI,SI,,,--
SANTA FE,San Jerónimo,,--,--,--,,--,--,--,--,--
SANTA FE,,,SI,--,,,SI,SI,,SI,--
SANTA FE,,Barrio Caima,--,--,,--,--,--,,SI,
,San Jerónimo,Barrio El Pacaá - Barrio Comipini,,,--,--,,,--,--,--
,San Jerónimo,Bernardo de Irigoyen (Est. Irigoyen),--,,--,SI,SI,,SI,,--
SANTA FE,,Casalegno,--,--,,--,--,--,,--,
SANTA FE,,,SI,--,--,,SI,SI,SI,--,
SANTA FE,San Jerónimo,Coronda,,SI,--,SI,,SI,SI,,--
,San Jerónimo,Desvío Arijón,SI,,--,--,,,SI,,--
SANTA FE,San Jerónimo,,SI,--,--,,SI,--,SI,--,
SANTA FE,,Gaboto,--,--,,--,SI,SI,,SI,--
SANTA FE,,Gálvez,SI,--,,SI,SI,SI,,,SI
SANTA FE,,,SI,--,,,SI,--,,,--
,San Jerónimo,Irigoyen,--,,--,--,SI,,--,SI,
,San Jerónimo,Larrechea,,,--,--,,,SI,SI,
SANTA FE,San Jerónimo,,SI,--,--,,--,--,SI,,--
SANTA FE,,López (Est. San Martín de Tours),SI,SI,,--,SI,--,,--,--
SANTA FE,,,SI,SI,,,SI,SI,,SI,--
SANTA FE,,Monje,SI,--,,SI,SI,SI,,--,
,San Jerónimo,Puerto Aragón,,,--,--,,,--,,--
,San Jerónimo,San Eugenio,--,,--,SI,SI,,--,,--
,San Jerónimo,San Fabián,,,--,--,--,,SI,SI,
SANTA FE,San Jerónimo,San Genaro,,--,--,SI,,SI,SI,SI,
SANTA FE,,San Genaro Norte,SI,SI,,SI,SI,--,,,--
SANTA FE,San Justo,,--,--,--,,--,--,--,SI,--
SANTA FE,San Justo,Cayastacito,,--,--,--,,--,SI,SI,--
,San Justo,Colonia Dolores,,,--,--,,,--,SI,
SANTA FE,,Esther,--,--,,--,--,--,,SI,--
SANTA FE,,,SI,SI,,,SI,SI,,,--
,San Justo,La Criolla (Est. Cañadita),SI,,--,--,SI,,SI,SI,--
,San Justo,La Penca y Caraguatá,,,--,--,,,SI,SI,
SANTA FE,San Justo,Marcelino Escalada,,--,--,--,,SI,SI,,--
,San Justo,Naré,--,,--,--,--,,SI,SI,--
TIERRA DEL FUEGO,Río Grande,,SI,SI,SI,,SI,SI,SI,SI,
TIERRA DEL FUEGO,,,SI,--,,,SI,SI,,SI,SI
,Ushuaia,Laguna Escondida,,,--,--,,,--,,SI
TIERRA DEL FUEGO,Ushuaia,Ushuaia,,SI,SI,SI,,SI,SI,,SI
,Burruyacú,7 de Abril,,,--,--,,,--,SI,SI
,Burruyacú,Barrio San Jorge,--,,--,--,SI,,--,--,
TUCUMAN,,,--,--,,,SI,SI,,--,--
TUCUMAN,,El Naranjo,--,--,,--,--,--,,,--
TUCUMAN,,,--,--,,--,SI,--,,SI,
TUCUMAN,Burruyacú,,--,--,--,,SI,SI,SI,--,--
,Burruyacú,Macomitas,--,,--,--,SI,,--,,--
TUCUMAN,Burruyacú,Piedrabuena,,--,--,--,,SI,--,SI,--
TUCUMAN,Burruyacú,,--,--,--,,SI,--,SI,--,
SAN LUIS,,,--,--,,,SI,SI,,--,
,La Capital,Mosmota,--,,--,--,--,,--,,--
,La Capital,Potrero de los Funes,,,--,--,,,SI,,--
SAN LUIS,,Pozo Del Carril,--,--,,--,--,--,,--,
SAN LUIS,,,--,--,,,--,--,,SI,
SAN LUIS,La Capital,,--,--,--,,--,--,--,,--
SAN LUIS,,San Luis,SI,SI,,SI,SI,SI,,SI,SI
SAN LUIS,La Capital,San Roque,,--,--,--,,SI,--,--,
,La Capital,Santa Rosa,,,--,--,--,,--,--,
SAN LUIS,,,--,--,,,--,--,,SI,--
SAN LUIS,La Capital,,--,--,--,,--,--,--,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,--,
SAN LUIS,,Cabeza De Novillo,--,--,,--,--,--,,--,
,Libertador Grl. San Martín,Casa De Los Tigres,,,--,--,,--,--,--,--
,Libertador Grl. San Martín,El Estanquito,--,,--,--,--,,--,,--
,Libertador Grl. San Martín,El Paraguay,,,--,--,,,--,--,
SAN LUIS,Libertador Grl. San Martín,El Paraiso,,--,--,--,,--,--,--,
SAN LUIS,,,--,--,,,--,--,,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,,--
SAN LUIS,Libertador Grl. San Martín,La Ramada,,--,--,--,,--,--,SI,--
,Libertador Grl. San Martín,La Totora,,,--,--,,,--,--,
SAN LUIS,,La Vertiente,--,--,,--,--,--,,SI,SI
SAN LUIS,,,--,--,--,,--,--,--,,--
,Libertador Grl. San Martín,Paso Grande,--,,--,SI,--,,SI,SI,--
SAN LUIS,Libertador Grl. San Martín,Planta De Sandia,,--,--,--,,,--,--,
SAN LUIS,Libertador Grl. San Martín,Potrerillo,,--,--,--,,--,--,,--
,Libertador Grl. San Martín,Puerta Colorada,,,--,--,,,--,--,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,--,
SAN LUIS,,,--,--,,,--,--,,--,--
,Libertador Grl. San Martín,San Isidro,--,,--,--,--,,--,,--
SAN LUIS,Libertador Grl. San Martín,San Martín,,--,SI,SI,,--,SI,,--
,Libertador Grl. San Martín,San Vicente,--,,--,--,--,,--,--,
SAN LUIS,Libertador Grl. San Martín,Tala Verde,,--,--,--,,,--,--,--
SAN LUIS,,Villa de Praga,--,--,,--,--,--,,,SI
SANTA CRUZ,,,SI,SI,,,SI,SI,SI,SI,SI
SANTA CRUZ,Corpen Aike,,SI,--,SI,,SI,--,SI,--,SI
SANTA CRUZ,,,--,SI,,,SI,SI,,SI,
SANTA CRUZ,Deseado,Cañadón Seco,,--,--,SI,,SI,--,SI,SI
,Deseado,Fitz Roy,,,--,--,,,--,,--
SANTA CRUZ,,,--,--,,,--,--,,SI,
SANTA CRUZ,Deseado,,--,--,--,,SI,SI,--,--,
SANTA CRUZ,Deseado,Las Heras,,,--,SI,,SI,--,,SI
,Deseado,Pico Truncado,--,,--,SI,SI,,--,,SI
SANTA CRUZ,Deseado,,SI,--,SI,,SI,SI,,--,
SANTA CRUZ,,Tellier,--,--,,--,--,--,,--,
SANTA CRUZ,,,--,--,,,SI,SI,,SI,SI
SANTA CRUZ,Güer Aike,,--,--,--,,--,--,--,,SI
,Güer Aike,Julia Dufour,,,--,--,,,--,--,
SANTA CRUZ,Güer Aike,Mina 3,,--,--,--,,SI,--,--,
SANTA CRUZ,Güer Aike,,--,SI,SI,,SI,SI,SI,,SI
SANTA CRUZ,,Rospentek,--,--,,--,--,--,,--,--
SANTA CRUZ,,Yacimientos Río Turbio,--,--,,--,SI,SI,,--,
SANTA CRUZ,,,SI,--,,,SI,SI,,SI,
,Lago Argentino,El Chaltén,--,,--,SI,--,,SI,,SI
,Lago Argentino,Tres Lagos,,,--,--,,,SI,--,SI
SANTA CRUZ,Lago Buenos Aires,Los Antiguos,,--,SI,--,,--,SI,SI,
,Lago Buenos Aires,Perito Moreno,--,,SI,--,,,SI,--,
SANTA CRUZ,Magallanes,,SI,SI,SI,,SI,SI,SI,,SI
SANTA CRUZ,,Bajo Caracoles,--,--,,--,--,--,,,SI
,Río Chico,Gobernador Gregores,,,--,--,,,SI,--,
SANTA CRUZ,Río Chico,Hipólito Yrigoyen,,--,--,--,,--,SI,--,--
SANTA FE,,,--,--,,,--,--,,,--
SANTA FE,,Esteban Rams,--,--,,--,SI,--,,SI,SI
,9 de Julio,Gato Colorado,,,--,--,,,SI,--,
,9 de Julio,Gregoria Pérez de Denis (Est. El Nochero),--,,--,--,SI,,SI,SI,SI
,9 de Julio,Independencia,--,,--,--,--,,--,--,--
SANTA FE,9 de Julio,Logroño,,--,--,--,,SI,SI,,--
SANTA FE,,Montefiore,--,--,,,--,--,,SI,SI
SANTA FE,9 de Julio,,--,--,--,,SI,--,SI,SI,
SANTA FE,9 de Julio,San Bernardo,,--,--,--,,--,SI,,--
,9 de Julio,Santa Margarita,,,--,--,,,SI,,SI
SANTA FE,9 de Julio,Tostado,,SI,--,--,,SI,SI,SI,SI
,9 de Julio,Villa Minetti,--,,--,--,SI,,SI,SI,
SANTA FE,Belgrano,,SI,--,--,,SI,SI,SI,SI,--
SANTA FE,,,SI,--,,,SI,--,,,--
SANTA FE,,Las Parejas,SI,--,,SI,SI,SI,,SI,
SANTA FE,,,SI,SI,,,SI,SI,,SI,--
,Belgrano,Montes de Oca,SI,,--,--,SI,,SI,,SI
,Belgrano,Tortugas,,,--,--,,,SI,--,SI
SANTA FE,Caseros,,SI,SI,,,SI,SI,SI,--,
SANTA FE,,Arteaga,SI,SI,,--,SI,SI,,SI,
,Caseros,Beravebú,,,--,--,,,SI,SI,--
SANTA FE,Caseros,Bigand,,SI,--,--,,SI,SI,,--
SANTA FE,,Casilda,SI,SI,,SI,SI,SI,,SI,
SANTA FE,Caseros,,SI,--,--,,SI,SI,SI,SI,
SANTA FE,,,SI,SI,,,SI,SI,,,--
SANTA FE,,Bauer y Sigel,SI,--,,--,--,--,,,--
,Castellanos,Bella Italia,,,--,SI,,,SI,SI,
,Castellanos,Castellanos,--,,--,--,--,,SI,SI,--
SANTA FE,,Colonia Bicha,SI,--,,SI,SI,--,,--,--
SANTA FE,Castellanos,,--,--,--,,SI,--,,,--
SANTA FE,,,--,SI,,,--,--,,--,
SANTA FE,,Colonia Raquel,SI,--,,SI,--,--,,SI,--
,Castellanos,Coronel Fraga,,,--,--,,,SI,,--
,Castellanos,Egusquiza,--,,--,--,SI,,--,,--
,Castellanos,Esmeralda,--,,--,--,SI,,SI,--,
SANTA FE,Castellanos,Estación Clucellas,,SI,--,--,,--,SI,SI,
SANTA FE,,Estacion Presidente Roca,--,--,,,--,--,,--,--
SANTA FE,Castellanos,,--,SI,--,,--,--,--,,--
SANTA FE,Castellanos,Eusebia y Carolina,,--,--,SI,,--,--,--,
,Castellanos,Eustolia,,,--,--,,,--,SI,--
SANTA FE,,Frontera,--,--,,--,SI,SI,,,--
SANTA FE,,,--,--,,,--,--,,--,--
,General López,Lazzarino,--,,--,--,SI,,--,--,
,General Pedernera,Villa Mercedes,,,SI,SI,,,SI,SI,--
SAN LUIS,General Pedernera,Villa Reynolds,,--,--,--,,SI,--,--,--
,General Pedernera,Villa Salles,--,,--,--,,,--,,--
SAN LUIS,Gobernador Dupuy,,--,--,SI,,SI,--,SI,SI,--
SAN LUIS,,Arizona,--,--,,--,SI,--,,SI,
,Gobernador Dupuy,Bagual,,,--,--,,,SI,,--
SAN LUIS,Gobernador Dupuy,Batavia,,--,--,--,,--,SI,SI,SI
SAN LUIS,Gobernador Dupuy,Buena Esperanza,,,SI,--,,--,SI,SI,
,Gobernador Dupuy,Fortín El Patria,--,,--,--,SI,,SI,SI,SI
SAN LUIS,Gobernador Dupuy,,--,--,SI,,--,--,,,SI
SAN LUIS,,La Maroma,--,--,,--,--,--,,--,SI
SAN LUIS,,,--,--,,,--,--,,--,--
SAN LUIS,Gobernador Dupuy,,--,--,--,,--,--,--,SI,
,Gobernador Dupuy,Nahuel Mapá,,,--,--,,,SI,SI,--
SAN LUIS,Gobernador Dupuy,Navia,,--,--,--,,--,--,,SI
SAN LUIS,Gobernador Dupuy,,--,--,--,,SI,--,SI,SI,
SANTA FE,,Humberto Primo,SI,SI,,SI,SI,SI,,SI,--
,Castellanos,Josefina,SI,,--,--,SI,,SI,,--
SANTA FE,Castellanos,Lehmann,,SI,--,SI,,,SI,SI,--
SANTA FE,,María Juana,SI,SI,,SI,SI,SI,,SI,
SANTA FE,,,--,--,,,--,--,--,--,
SANTA FE,Castellanos,,SI,SI,--,,SI,SI,SI,,--
SANTA FE,,,--,SI,,,SI,--,,,--
SANTA FE,Castellanos,Presidente Roca,,SI,--,SI,,--,SI,SI,--
,Castellanos,Pueblo Marini,,,--,--,,,--,SI,
SANTA FE,,,SI,SI,,,SI,SI,,,SI
SANTA FE,Castellanos,,SI,--,--,,SI,SI,SI,SI,--
SANTA FE,,San Antonio,--,SI,,--,--,--,,SI,--
SANTA FE,,,SI,SI,--,,SI,SI,SI,SI,
,Castellanos,Santa Clara de Saguier,SI,,--,--,SI,,SI,,--
SANTA FE,Castellanos,Sunchales,,SI,--,SI,,,SI,,--
SANTA FE,Castellanos,Susana,,--,--,SI,,SI,SI,SI,
,Castellanos,Tacural,,,--,SI,,,SI,--,
SANTA FE,Castellanos,,SI,--,--,,SI,SI,SI,,--
SANTA FE,,,--,--,,,--,--,,--,--
,Castellanos,Villa San José,--,,--,--,--,,SI,SI,--
SANTA FE,Castellanos,Virginia,,--,--,--,,--,--,SI,
SANTA FE,Castellanos,,--,SI,--,,SI,SI,--,--,--
SANTA FE,,Alcorta,SI,SI,,SI,SI,SI,,,--
,Constitución,Barrio Arroyo del Medio,,,--,--,,--,--,--,--
,Constitución,Barrio Mitre,--,,--,--,SI,,--,--,
,Constitución,Bombal,,,--,SI,,,SI,,--
SANTA FE,Constitución,Cañada Rica,,--,--,--,,--,SI,--,--
SANTA FE,,,--,--,,,--,--,,SI,
SANTA FE,Constitución,,SI,--,--,,SI,--,SI,--,--
SANTA FE,Constitución,Firmat,,--,--,--,,--,--,--,--
,Constitución,General Gelly,,,--,--,,,--,,--
,Constitución,Godoy,--,,--,--,SI,,SI,SI,--
,Constitución,Juan B. Molina,,,--,--,,,SI,SI,
SANTA FE,,Juncal,SI,--,,SI,--,--,,SI,--
SANTA FE,,,--,--,,,--,--,,,--
SANTA FE,Constitución,,SI,SI,--,,SI,SI,SI,SI,
SANTA FE,,Pavón,SI,--,,--,SI,SI,,--,--
SANTA FE,Constitución,Pavón Arriba,,--,--,SI,,SI,SI,,--
,Constitución,Peyrano,,,--,--,SI,,SI,--,--
SANTA FE,,,--,--,,,--,--,,SI,--
SANTA FE,Constitución,,SI,SI,--,,SI,SI,SI,SI,
,Constitución,Sargento Cabral,,,--,SI,,,SI,SI,--
,Constitución,Stephenson,--,,--,--,SI,,--,,--
SANTA FE,,,--,--,,,SI,--,,--,
SANTA FE,,Villa Constitución,SI,SI,,SI,SI,SI,,SI,
SANTA FE,,,--,--,,--,SI,SI,,,--
SANTA FE,Garay,,--,SI,--,,SI,--,SI,,--
,Garay,Los Zapallos,--,,--,--,SI,,SI,--,
SANTA FE,Garay,Saladero Mariano Cabal,,--,--,--,,--,SI,SI,SI
SANTA FE,Garay,,SI,SI,--,,SI,SI,SI,--,--
SANTA FE,,,--,--,,,SI,--,,,--
SANTA FE,General López,,SI,--,--,,SI,SI,SI,SI,
SANTA FE,,,SI,--,,,SI,SI,,--,
SAN JUAN,Jáchal,San José de Jáchal,,--,SI,SI,,SI,SI,,SI
,Jáchal,Tamberías,--,,--,--,--,,SI,,--
,Jáchal,Villa Malvinas Argentinas,--,,--,--,--,,--,SI,--
,Jáchal,Villa Mercedes,,,--,--,,,SI,SI,
SAN JUAN,,Barrio Municipal,--,--,,--,--,--,,,--
SAN JUAN,,,--,--,,,SI,SI,,,--
SAN JUAN,Pocito,Carpintería,,--,--,--,,--,SI,SI,
,Pocito,La Rinconada,--,,--,--,SI,,--,--,--
SAN JUAN,,Las Piedritas,--,--,,--,--,--,,,--
SAN JUAN,Pocito,,--,--,--,,SI,SI,SI,SI,--
,Pocito,Villa Aberastain,--,,--,--,,,--,SI,
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,,--,SI,--,,--,SI,SI,SI
,Pocito,Villa Barbosa - Villa Nacusi,,,--,--,,,--,SI,--
,Pocito,Villa Barboza,--,,--,--,SI,,--,,--
SAN JUAN,,,--,--,,,SI,SI,,SI,--
SAN JUAN,,Villa Nacusi,--,--,,--,--,--,,--,
,Rawson,El Medanito,--,,--,--,--,,--,,--
,General López,Cañada del Ucle,,--,--,--,,--,SI,,--
SANTA FE,General López,Carmen,,--,--,--,,SI,SI,SI,
,General López,Carreras,--,,--,--,,,SI,SI,--
SANTA FE,General López,,--,SI,--,,SI,SI,SI,,--
SANTA FE,,Chovet,--,SI,,--,SI,SI,,--,SI
SANTA FE,,Christophersen,--,--,,SI,SI,--,,SI,--
SANTA FE,,,SI,--,,,SI,SI,,SI,
,General López,Elortondo,SI,,--,--,SI,,SI,--,--
,General López,Firmat,,,--,SI,,,SI,,--
SANTA FE,General López,,--,--,--,,SI,SI,SI,--,
SANTA FE,,La Chispa,--,--,,--,--,--,,SI,
,General López,Labordeboy,SI,,--,--,SI,,SI,,--
SALTA,La Candelaria,El Tala,,--,--,SI,,SI,SI,SI,SI
SALTA,,La Candelaria,--,--,,,SI,--,,--,
SALTA,La Poma,,--,--,--,,--,--,--,--,
SALTA,,,--,--,,,--,--,,,--
SALTA,,Ampascachi,--,--,,--,--,--,,,--
,La Viña,Cabra Corral,,,--,--,,,--,SI,--
,La Viña,Coronel Moldes,SI,,--,--,SI,,SI,SI,
SALTA,,La Viña,--,--,,SI,SI,--,,,SI
SALTA,,,--,--,--,,--,--,--,SI,--
SALTA,Los Andes,,--,--,--,,--,--,--,SI,
SALTA,,,--,--,,,SI,--,,SI,SI
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,,--,--,SI,,--,--,,--
,Los Andes,Tolar Grande,,,--,SI,,,--,,SI
,Metán,El Galpón,SI,,--,SI,SI,,SI,--,
SALTA,Metán,El Tunal,,--,--,SI,,,--,--,
SALTA,,Lumbreras,--,--,,SI,--,--,,--,--
SALTA,Grl. José de San Martín,,--,--,,,SI,--,--,,--
,Grl. José de San Martín,Piquirenda,,,--,SI,,,--,--,
,Grl. José de San Martín,Profesor Salvador Mazza,SI,,--,SI,SI,,SI,--,SI
SALTA,,,--,--,,,--,--,,,--
SALTA,Grl. José de San Martín,,SI,SI,--,,SI,SI,SI,SI,SI
,Grl. José de San Martín,Tobantirenda,,,--,SI,,,--,--,
SALTA,Grl. José de San Martín,Tranquitas,,--,--,--,,--,--,--,--
,Grl. José de San Martín,Yacuy,,,--,SI,,--,--,--,--
,Guachipas,Guachipas,--,,--,SI,SI,,SI,,SI
SALTA,Iruya,,--,--,--,,--,--,,SI,--
SALTA,,Isla de Cañas,--,--,,--,SI,--,,SI,
,Iruya,Pueblo Viejo,--,,--,SI,--,,--,,--
,La Caldera,La Caldera,,,--,SI,,,SI,SI,SI
,La Caldera,Vaqueros,,,--,SI,,,SI,SI,--
SALTA,La Candelaria,El Jardín,,--,--,SI,,--,SI,--,
SALTA,,,--,--,,,SI,--,,--,SI
SALTA,Metán,,--,--,--,,--,--,--,,--
SALTA,Metán,,SI,--,--,,SI,SI,,--,
SALTA,,San José de Metán,SI,SI,,SI,SI,SI,,--,SI
,Metán,San José de Orquera,,,--,SI,,--,--,,--
,Molinos,La Puerta,--,,--,--,--,,--,--,--
SALTA,,Molinos,SI,--,,SI,SI,--,,SI,--
SALTA,,,--,--,,,SI,--,,SI,
SALTA,Orán,Aguas Blancas,,--,--,--,,--,SI,,SI
,Orán,Colonia Santa Rosa,,,--,--,,,SI,,SI
SALTA,Orán,,--,SI,--,,SI,--,SI,--,
SALTA,,,SI,SI,,,SI,SI,,SI,
SALTA,,La Misión,--,--,,--,--,--,,,--
SALTA,,,SI,SI,,,SI,SI,SI,,SI
,General López,Maggiolo,SI,,--,--,SI,,SI,SI,
SANTA FE,General López,María Teresa,,SI,--,--,,SI,SI,SI,--
SANTA FE,,,--,--,,,SI,SI,,SI,--
SANTA FE,,Miguel Torres,--,SI,,--,--,--,,,--
SANTA FE,,,--,--,,SI,SI,SI,,--,--
SANTA FE,General López,,SI,SI,--,,SI,SI,SI,--,
,General López,San Eduardo,SI,,--,SI,SI,,SI,,--
SANTA FE,General López,San Francisco de Santa Fe,,--,--,SI,,--,SI,,SI
,General López,San Gregorio,,,--,SI,,,SI,SI,
,General López,Sancti Spiritu,SI,,--,SI,SI,,SI,SI,
SAN JUAN,,,--,--,,,--,--,,,--
SAN JUAN,,Colonia Fiscal,--,--,,--,--,--,,,--
,Sarmiento,Divisadero,--,,--,--,SI,,SI,SI,--
SAN JUAN,Sarmiento,Guanacache,,--,--,--,,,SI,SI,
SAN JUAN,Sarmiento,,--,--,--,,SI,SI,--,--,SI
SAN JUAN,,Los Berros,--,--,,SI,SI,SI,,,--
SAN JUAN,Sarmiento,Pedernal,,--,--,--,,--,--,SI,--
,Sarmiento,Punta del Médano,,,--,--,SI,,SI,SI,
,Sarmiento,Villa Media Agua,--,,--,SI,SI,,SI,,--
,Ullum,Villa Ibáñez,,,SI,--,,,SI,SI,--
SAN JUAN,,Astica,--,--,,--,SI,SI,,SI,
SAN JUAN,,,--,--,,,--,--,,--,--
SAN JUAN,Valle Fértil,Chucuma,,,--,--,,SI,--,--,--
,Valle Fértil,Los Baldecitos,--,,--,--,SI,,SI,,--
,Valle Fértil,Usno,,,--,--,,,--,--,
,Valle Fértil,Villa San Agustín,--,,--,SI,SI,,SI,SI,SI
SAN JUAN,,,--,--,,,SI,SI,,,--
SAN LUIS,,Balde De Los Torres,--,--,,--,--,--,,--,--
SAN LUIS,,Balde Del Carmen,--,--,,--,--,--,,--,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,
,Ayacucho,Baldecito De La Pampa,,,--,--,,,--,--,--
SAN LUIS,Ayacucho,Candelaria,,--,--,--,,--,SI,,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,
SAN LUIS,,,--,--,,,--,--,,--,
,Ayacucho,El Injerto,--,,--,--,--,,--,,--
,Ayacucho,El Rincon,,,--,--,,,--,,--
SAN LUIS,,El Vinagrillo,--,--,,--,--,--,,--,
SAN LUIS,,,--,--,,,--,--,,--,
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,--
SAN LUIS,,La Avenencia,--,--,,,--,--,,,--
SAN LUIS,Ayacucho,La Botija,,--,--,--,,--,--,--,
,Ayacucho,La Brea,--,,--,--,--,,--,--,
SAN LUIS,,,--,--,,,--,--,,,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,--
SAN LUIS,,,--,--,,,--,--,,--,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,
,Ayacucho,Las Chimbas,--,,--,--,--,,--,--,--
SAN LUIS,Ayacucho,Las Lagunitas,,--,--,--,,--,--,,--
,Ayacucho,Leandro N. Alem,,,--,--,,,--,SI,
,Ayacucho,Lomas Blancas,--,,--,--,--,,--,SI,--
SAN LUIS,,,--,--,,,--,--,,,--
