,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
CATAMARCA,Capayán,,10042060,- 0,- 0,,10,- 0,1,- 0,9,,
CATAMARCA,,Coneta,10042080,- 0,,,10,- 0,,- 0,,,
CATAMARCA,,Huillapima,10042100,- 0,,- 0,5,- 0,,,9,16,
CATAMARCA,,,10042120,- 0,,,7,- 0,,- 0,10,19,
,Capayán,San Martín,10042130,,- 0,- 0,- 0,,7,- 0,,,
,Capayán,Los Angeles,,,- 0,- 0,,,- 0,- 0,5,,
CATAMARCA,,,10049020,11,13,,2,- 0,2,,- 0,28,
CATAMARCA,,San Fernando del Valle de Catamarca,10049030,8.238,,1,38.963,- 0,,,14,57.690,
,El Alto,El Alto,10056010,,- 0,- 0,,,1,- 0,,,
CATAMARCA,El Alto,Tapso,,- 0,- 0,- 0,,- 0,1,- 0,,1,
CATAMARCA,,Icaño,10070070,- 0,,- 0,- 0,- 0,,- 0,- 0,1,
CATAMARCA,La Paz,,10070140,183,9,,1.619,- 0,1,,5,1.817,
CATAMARCA,,,10070150,- 0,,,- 0,- 0,,- 0,,26,
CATAMARCA,,Quirós,10070120,- 0,,- 0,- 0,- 0,,- 0,27,,
,Paclín,La Merced,,,- 0,- 0,,,4,,5,81,
,Paclín,La Viña,10077060,,- 0,- 0,- 0,,- 0,,10,10,
CATAMARCA,,Las Lajas,10077070,- 0,,- 0,- 0,- 0,,- 0,- 0,,
CATAMARCA,Paclín,,10077100,- 0,- 0,,- 0,- 0,1,- 0,,8,
CATAMARCA,Pomán,,10084060,- 0,- 0,,- 0,- 0,1,,- 0,1,
CATAMARCA,,,10084070,- 0,,,- 0,- 0,,,- 0,2,
CATAMARCA,Pomán,San Miguel,,- 0,- 0,- 0,,- 0,- 0,- 0,7,,
,Pomán,Saujil,,,- 0,- 0,,,1,- 0,,170,
,Pomán,Siján,10084110,,- 0,- 0,- 0,,1,,- 0,1,
,Pomán,Colpes,,,- 0,- 0,,- 0,- 0,- 0,16,16,
CATAMARCA,,La Loma,10091100,- 0,,- 0,- 0,- 0,,- 0,,1,
CATAMARCA,Santa María,,10091140,- 0,- 0,,- 0,- 0,,- 0,,,
,Santa María,Santa María,,,- 0,- 0,,,1,- 0,- 0,2.152,
,Santa Rosa,Alijilán,10098010,,- 0,- 0,- 0,,2,,- 0,2,
CATAMARCA,,,10098020,- 0,,,- 0,- 0,,- 0,- 0,,
CATAMARCA,Santa Rosa,,10098040,- 0,- 0,,- 0,- 0,1,- 0,,,
,Santa Rosa,Los Altos,,,- 0,- 0,,,1,- 0,6,7,
CATAMARCA,Tinogasta,Fiambalá,,- 0,- 0,- 0,,- 0,2,,7,17,
CATAMARCA,Tinogasta,Tinogasta,,510,- 0,- 0,,,2,- 0,,,
,Valle Viejo,El Portezuelo,10112010,,- 0,- 0,- 0,,6,- 0,- 0,,
CATAMARCA,Valle Viejo,,10112040,- 0,,,2.457,- 0,- 0,,5,2.462,
CATAMARCA,,Santa Rosa,10112030,- 0,,- 0,759,- 0,,- 0,5,764,
,Valle Viejo,Villa Dolores,10112030,,- 0,- 0,103,,- 0,- 0,,,
,Valle Viejo,Sumalao,,,- 0,- 0,,,- 0,- 0,,6,
,Valle Viejo,Polcos,10112030,,- 0,- 0,213,,- 0,,- 0,213,
CATAMARCA,Valle Viejo,Pozo Del Mistol,,- 0,- 0,- 0,,- 0,- 0,- 0,- 0,18,
CATAMARCA,,El Bañado,10112030,- 0,,- 0,7,- 0,,- 0,,7,
CATAMARCA,,,10063050,- 0,- 0,,4,- 0,- 0,- 0,- 0,,
CATAMARCA,Fray Mamerto Esquiú,,10063040,- 0,- 0,,1,- 0,- 0,- 0,- 0,1,
CATAMARCA,,,10063050,- 0,,,- 0,- 0,,,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,La Carrera,,- 0,- 0,- 0,,- 0,1,- 0,- 0,,
,Fray Mamerto Esquiú,El Hueco,,,- 0,- 0,,,- 0,- 0,,,
CATAMARCA,,La Falda De San Antonio,10063050,- 0,,,- 0,- 0,,,5,5,
CATAMARCA,Fray Mamerto Esquiú,,10063050,- 0,- 0,,- 0,- 0,- 0,,5,5,
,12 de Octubre,Gancedo,,- 0,- 0,- 0,,- 0,2,- 0,,104,
,12 de Octubre,General Pinedo,22036030,,- 0,- 0,472,,2,- 0,,,
CHACO,1º de Mayo,,22126020,153,- 0,,11,- 0,1,,2,167,
CHACO,,Margarita Belén,22126030,382,,- 0,180,- 0,,,77,639,
CHACO,,,22039010,- 0,,,175,- 0,,- 0,,,
CHACO,2 de Abril,,22039020,- 0,- 0,,30,478,- 0,- 0,,508,
,25 de Mayo,Colonia Aborigen,,,- 0,- 0,,,- 0,- 0,46,46,
CHACO,25 de Mayo,Machagai,,369,311,- 0,,- 0,- 0,,269,994,
CHACO,9 de Julio,,22105010,1.293,- 0,,74,- 0,1,- 0,,,
CHACO,,Concepción del Bermejo,22007010,- 0,,- 0,373,- 0,,- 0,230,,
CHACO,Almirante Brown,,22007020,- 0,- 0,,344,- 0,1,,- 0,345,
CHACO,,Pampa del Infierno,22007030,- 0,,- 0,1.375,- 0,,,65,1.446,
CHACO,Almirante Brown,Taco Pozo,,- 0,- 0,- 0,,- 0,3,- 0,,335,
,Bermejo,General Vedia,,,- 0,- 0,30,,1,- 0,,,
,Bermejo,Isla del Cerrito,22014020,,- 0,- 0,- 0,,1,- 0,- 0,1,
,Bermejo,La Leonesa,,,- 0,- 0,,,- 0,,228,784,
CHACO,,Las Palmas,22014040,- 0,,- 0,46,- 0,,- 0,,,
CHACO,,,22014050,- 0,,,14,- 0,,- 0,,65,
CHACO,Bermejo,Puerto Eva Perón,,,- 0,- 0,,- 0,1,,41,57,
,Chacabuco,Charata,22028010,,- 0,- 0,1.186,,2,- 0,230,3.342,
CHACO,,,22021010,3.559,,,5.972,24,,- 0,,9.785,
CHACO,Fray Justo Santa María De Oro,,22043010,- 0,- 0,,- 0,25,- 0,- 0,- 0,,
,Fray Justo Santa María De Oro,OTROS,Sin Datos,,- 0,- 0,- 0,,- 0,,- 0,60,
CHACO,Fray Justo Santa María De Oro,Santa Sylvina,,- 0,32,- 0,,950,1,- 0,- 0,983,
,General Belgrano,Corzuela,,,- 0,- 0,,,1,- 0,28,,
,General Donovan,La Escondida,22056010,,209,- 0,189,,2,- 0,,,
CHACO,,,22056020,14,,,39,305,,- 0,- 0,387,
CHACO,,Lapachito,22056030,1,,- 0,61,- 0,,,- 0,89,
,General Donovan,Makallé,22056040,,370,- 0,- 0,,1,- 0,,409,
CHACO,General Güemes,El Espinillo,,- 0,- 0,- 0,,,1,- 0,,,
CHACO,General Güemes,El Sauzal,,- 0,- 0,- 0,,- 0,1,,62,63,
,General Güemes,El Sauzalito,,,- 0,- 0,,,1,- 0,- 0,1,
CHACO,General Güemes,,22063040,- 0,- 0,,- 0,- 0,- 0,- 0,,,
CHACO,,,22063050,- 0,,,8,- 0,,- 0,- 0,,
CHACO,,Juan José Castelli,22063060,599,,- 0,294,- 0,,- 0,690,1.583,
CHACO,,,22063070,- 0,- 0,,- 0,- 0,- 0,,630,630,
,General Güemes,Nueva Pompeya,22063080,,- 0,- 0,1,,3,- 0,308,,
CHACO,General Güemes,Villa Río Bermejito,,4,- 0,- 0,,- 0,2,- 0,,422,
CHACO,,,22063110,- 0,,,- 0,- 0,,,91,92,
CHACO,,Avia Terai,22070010,85,,- 0,42,- 0,,,- 0,128,
,Independencia,Campo Largo,,,- 0,- 0,,,- 0,- 0,,610,
CHACO,Libertad,Laguna Blanca,,- 0,- 0,- 0,,- 0,2,- 0,,,
CHACO,,,22077040,541,,,114,- 0,,,163,819,
CHACO,Libertador General San Martín,,22084010,- 0,- 0,,- 0,- 0,1,- 0,97,98,
CHACO,Libertador General San Martín,,22084020,511,1.130,,5.083,- 0,- 0,- 0,,,
CHACO,,La Eduvigis,22084030,- 0,,- 0,- 0,- 0,,- 0,,1,
,Libertador General San Martín,Laguna Limpia,,- 0,- 0,- 0,,- 0,- 0,,32,32,
,Libertador General San Martín,Pampa Almirón,22084050,,- 0,- 0,26,,- 0,,55,81,
CHACO,,Pampa del Indio,22084060,- 0,,- 0,25,- 0,,- 0,,,
CHACO,,,22084070,- 0,,,13,- 0,,- 0,196,,
CHACO,,,22091010,461,,,- 0,- 0,,,77,538,
CHACO,Mayor Luis J. Fontana,,22098010,122,73,,264,- 0,1,,516,976,
,Mayor Luis J. Fontana,Enrique Urién,,,- 0,- 0,,,1,- 0,,,
CHACO,Mayor Luis J. Fontana,Villa Angela,,2.756,1,- 0,,- 0,- 0,- 0,,4.015,
CHACO,O Higgins,La Clotilde,,,32,- 0,,116,1,,- 0,227,
,O Higgins,La Tigra,22112020,,- 0,- 0,- 0,,1,- 0,- 0,254,
CHACO,O Higgins,,22112030,147,- 0,,14,38,,- 0,,202,
CHACO,,OTROS,Sin Datos,- 0,,- 0,- 0,24,,- 0,,,
,Presidencia de la Plaza,Presidencia de la Plaza,22119010,,327,- 0,58,,- 0,- 0,- 0,601,
,Quitilipi,Quitilipi,,,- 0,- 0,,,- 0,,123,1.076,
CHACO,Quitilipi,,22133020,- 0,- 0,,- 0,- 0,- 0,- 0,43,,
CHACO,,,22140010,115,,,146,- 0,,- 0,,4.141,
CHACO,San Fernando,Basail,,98,67,- 0,,- 0,1,- 0,57,223,
,San Fernando,Fontana,,,- 0,- 0,,,- 0,,70,180,
,San Fernando,OTROS,Sin Datos,,- 0,- 0,- 0,,3,- 0,,,
CHACO,San Fernando,Puerto Vilelas,,- 0,- 0,- 0,,,1,- 0,- 0,,
CHACO,,Resistencia,22140060,11.650,,5,25.299,2,,,223,92.373,
CHACO,San Lorenzo,,22147010,- 0,,,- 0,- 0,1,- 0,- 0,1,
,San Lorenzo,Villa Berthet,,,- 0,- 0,,,1,- 0,,,
,Sargento Cabral,Capitán Solari,22154010,,- 0,- 0,81,,- 0,- 0,,81,
,Sargento Cabral,Colonia Elisa,22154020,,- 0,- 0,- 0,,2,- 0,- 0,2,
CHACO,Sargento Cabral,Colonias Unidas,,- 0,- 0,- 0,,- 0,- 0,,15,265,
CHACO,,,22154050,- 0,,,- 0,- 0,,- 0,119,,
CHACO,Tapenagá,,22161010,- 0,- 0,,27,- 0,1,- 0,,,
CHUBUT,,,26007010,- 0,,,- 0,- 0,,,- 0,2,
CHUBUT,,Puerto Madryn,26007020,3.648,,200,3.781,5.283,,- 0,2.762,40.116,
,Biedma,Puerto Pirámide,,,- 0,- 0,,,1,- 0,,38,
,Biedma,Quinta El Mirador,26007040,,- 0,- 0,- 0,,- 0,- 0,22,,
CHUBUT,,Reserva Area Protegida El Doradillo,26007050,- 0,,- 0,- 0,- 0,,,127,127,
CHUBUT,,,26014020,- 0,- 0,,- 0,- 0,1,,- 0,2,
CHUBUT,Cushamen,El Hoyo,,216,- 0,- 0,,- 0,- 0,- 0,,,
,Cushamen,Epuyén,,,- 0,- 0,,,- 0,- 0,,1.184,
CHUBUT,Cushamen,,26014070,- 0,- 0,,- 0,- 0,2,- 0,- 0,2,
CHUBUT,,Lago Puelo,26014090,315,,- 0,59,- 0,,,723,1.097,
CHUBUT,,Leleque,26014100,- 0,,- 0,- 0,- 0,,- 0,,2,
CHUBUT,,,26014050,- 0,,,- 0,- 0,,- 0,,,
,Escalante,Comodoro Rivadavia,26021030,,12.473,248,1.739,,37,,16.749,51.184,
,Escalante,Diadema Argentina,,,- 0,- 0,,,- 0,,311,311,
CHUBUT,Escalante,,26021050,1.143,1,,1.206,54,- 0,- 0,443,,
CHUBUT,,Acceso Norte,26021020,- 0,,- 0,- 0,- 0,,- 0,,1,
CHUBUT,,,26021020,- 0,,,- 0,- 0,,,- 0,1,
CHUBUT,,Camarones,26028010,- 0,,- 0,- 0,- 0,,,208,209,
,Florentino Ameghino,Garayalde,,,- 0,- 0,,,- 0,- 0,,3,
,Futaleufú,Corcovado,26035020,,- 0,1,- 0,,5,- 0,,,
,Futaleufú,Esquel,,,1.522,40,- 0,,2,,4.527,13.233,
CHUBUT,Futaleufú,Los Cipreses,,- 0,- 0,- 0,,- 0,1,,- 0,1,
CHUBUT,,Trevelín,26035060,472,,19,- 0,18,,- 0,562,,
CHUBUT,Futaleufú,,26035070,- 0,- 0,,- 0,- 0,5,- 0,,5,
CHUBUT,Futaleufú,Aldea Escolar,,- 0,- 0,- 0,,- 0,1,,- 0,1,
,Futaleufú,Lago Rosario,,,- 0,- 0,,,2,- 0,- 0,2,
CHUBUT,,28 de Julio,26042040,- 0,,- 0,12,1,,- 0,,,
CHUBUT,,,26042020,- 0,,,55,50,,- 0,- 0,,
,Gaiman,Gaiman,26042030,,- 0,15,90,,2,,- 0,988,
,Gaiman,OTROS,,,- 0,- 0,,,14,- 0,- 0,14,
CHUBUT,Gastre,Blancuntre,,- 0,- 0,- 0,,- 0,1,- 0,- 0,,
,Gastre,El Escorial,26049020,,- 0,- 0,- 0,,1,- 0,,,
CHUBUT,Gastre,,26049040,- 0,- 0,,- 0,- 0,1,- 0,7,8,
CHUBUT,,,26049050,- 0,,- 0,- 0,- 0,,,- 0,1,
,Gastre,Gastre,,,- 0,- 0,,,- 0,- 0,,103,
CHUBUT,Languiñeo,Aldea Epulef,,- 0,- 0,- 0,,- 0,1,- 0,5,,
,Languiñeo,Carrenleufú,,,- 0,- 0,,,1,,- 0,1,
,Languiñeo,Colan Conhue,26056030,,- 0,- 0,- 0,,1,- 0,4,5,
CHUBUT,,,26056040,- 0,,,- 0,- 0,,- 0,,,
CHUBUT,,Tecka,26056050,- 0,,- 0,- 0,- 0,,- 0,- 0,,
CHUBUT,,,26063010,- 0,,- 0,- 0,- 0,,- 0,- 0,1,
CHUBUT,Mártires,,26063020,- 0,- 0,,- 0,- 0,1,,- 0,1,
,Paso de Indios,Cerro Cóndor,26070010,,1,- 0,- 0,,1,- 0,- 0,,
CHUBUT,Paso de Indios,Los Altares,,- 0,- 0,- 0,,- 0,1,- 0,,2,
CHUBUT,Paso de Indios,,26070030,- 0,- 0,,- 0,- 0,1,,- 0,1,
CHUBUT,,,26077020,675,,,101,1,,,421,1.419,
,Rawson,Rawson,26077030,,8.805,41,774,,1,- 0,,12.011,
,Rawson,Trelew,,,23.051,287,,,3,- 0,,,
CHUBUT,,Playa Magagna,26077010,- 0,,- 0,- 0,- 0,,,3,1.703,
CHUBUT,,,26084010,- 0,,,- 0,- 0,,,1,2,
CHUBUT,Río Senguer,,26084020,- 0,- 0,,- 0,- 0,2,- 0,- 0,,
CHUBUT,,Alto Río Senguer,26084030,- 0,,1,- 0,- 0,,- 0,,4,
CHUBUT,Río Senguer,Doctor Ricardo Rojas,,- 0,- 0,- 0,,- 0,1,,- 0,1,
,Río Senguer,Facundo,,,- 0,- 0,,,1,,41,42,
CHUBUT,,,26084060,- 0,,,- 0,- 0,,- 0,,1,
CHUBUT,Río Senguer,,26084070,- 0,- 0,,4,- 0,2,- 0,180,,
CHUBUT,Sarmiento,,26091010,- 0,- 0,,- 0,- 0,1,,- 0,1,
CHUBUT,,SARMIENTO,26091020,2.133,,- 0,712,- 0,,,277,3.124,
,Tehuelches,Gobernador Costa,,- 0,- 0,1,,- 0,- 0,- 0,,1,
,Tehuelches,José de San Martín,26098030,,- 0,- 0,- 0,,1,- 0,- 0,,
,Tehuelches,Río Pico,,,- 0,1,,,2,,- 0,3,
CHUBUT,Telsen,Gan Gan,,- 0,- 0,- 0,,1,1,,11,13,
CHUBUT,,,26105020,- 0,,,- 0,- 0,,- 0,,,
CORDOBA,Calamuchita,,14007010,- 0,- 0,,- 0,- 0,- 0,- 0,,19,
CORDOBA,Calamuchita,Cañada del Sauce,,1,- 0,- 0,,- 0,- 0,,- 0,1,
,Calamuchita,Capilla Vieja,14007040,,- 0,- 0,,,- 0,- 0,5,5,
CORDOBA,,El Corcovado - El Torreón,14007050,52,,- 0,- 0,- 0,,- 0,,82,
CORDOBA,,,14007060,- 0,- 0,,1.467,- 0,1,- 0,1.877,,
,Calamuchita,La Cruz,14007070,,- 0,- 0,- 0,,- 0,,362,375,
CORDOBA,Calamuchita,La Cumbrecita,,- 0,- 0,- 0,,- 0,- 0,- 0,250,250,
CORDOBA,Calamuchita,Las Bajadas,,- 0,- 0,- 0,,- 0,- 0,- 0,16,,
,Calamuchita,Los Cóndores,,,- 0,- 0,,,1,- 0,,,
CORDOBA,Calamuchita,,14007120,- 0,- 0,,- 0,- 0,- 0,- 0,42,42,
CORDOBA,,,14007130,30,,,342,- 0,,,375,748,
,Calamuchita,Parque Calmayo,14007160,,- 0,- 0,- 0,,- 0,- 0,,36,
CORDOBA,Calamuchita,San Agustín,,110,- 0,- 0,,- 0,- 0,- 0,,,
,Calamuchita,San Ignacio (Loteo San Javier),14007190,,- 0,- 0,- 0,,- 0,- 0,11,11,
CORDOBA,Calamuchita,Santa Rosa de Calamuchita,,1.355,815,- 0,,,- 0,,3.079,5.368,
CORDOBA,,Villa Alpina,14007240,- 0,,- 0,- 0,- 0,,- 0,2,,
CORDOBA,Calamuchita,,14007250,- 0,,,- 0,- 0,- 0,- 0,,,
CORDOBA,Calamuchita,,14007260,31,- 0,,- 0,- 0,- 0,,6,37,
CORDOBA,,,14007270,- 0,,,- 0,- 0,,- 0,219,219,
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (3a. Sección),,- 0,- 0,- 0,,- 0,- 0,- 0,,8,
,Calamuchita,Villa del Dique,,,- 0,- 0,,,- 0,- 0,866,,
CORDOBA,,,14007310,- 0,,- 0,- 0,- 0,,,1.129,1.161,
CORDOBA,Calamuchita,,14007330,- 0,- 0,,- 0,- 0,- 0,,84,84,
CORDOBA,Calamuchita,Villa Rumipal,,,- 0,- 0,,- 0,- 0,- 0,,,
,Calamuchita,Villa San Miguel,14007170,,- 0,- 0,- 0,,- 0,- 0,,5,
CORDOBA,Calamuchita,,14007360,- 0,- 0,,- 0,- 0,,,7,7,
CORDOBA,,Las Caleras,14007100,- 0,,- 0,- 0,- 0,,,7,7,
CORDOBA,,,14007170,- 0,,,- 0,- 0,,- 0,,9,
CORDOBA,Calamuchita,,14007220,- 0,- 0,,- 0,- 0,- 0,- 0,61,,
,Calamuchita,Río de los Sauces,,,- 0,- 0,,,- 0,,1,1,
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes,,- 0,400,- 0,,- 0,- 0,,- 0,400,
CORDOBA,Capital,,14014010,58.016,222.667,,208.950,1.218,11,- 0,4.276,,
CORDOBA,,OTROS,Sin Datos,- 0,,- 0,- 0,- 0,,- 0,,695,
CORDOBA,,Agua de Oro,14021010,370,,- 0,65,- 0,,,65,500,
CORDOBA,,,14021020,124,,,1,- 0,,,- 0,125,
,Colón,Colonia Caroya,14021050,,505,- 0,6.155,,- 0,- 0,31,,
,Colón,El Manzano,,,- 0,- 0,,,- 0,- 0,,145,
CORDOBA,Colón,General Paz,,167,- 0,- 0,,- 0,- 0,,- 0,167,
,Colón,Jesús María,14021140,,3.877,- 0,,,- 0,,15,11.551,
CORDOBA,Colón,,14021150,1.197,6.525,,1.352,316,1,- 0,,9.887,
CORDOBA,,La Granja,14021160,437,,- 0,1,- 0,,- 0,,,
,Colón,Los Molles,,,- 0,- 0,,,2,- 0,- 0,2,
CORDOBA,Colón,Malvinas Argentinas,,1.122,- 0,- 0,,- 0,- 0,,229,1.642,
CORDOBA,,,14021200,821,,,841,2,,- 0,195,,
CORDOBA,,OTROS,Sin Datos,- 0,,- 0,- 0,- 0,,- 0,,287,
,Colón,Pajas Blancas,,,- 0,- 0,,,- 0,- 0,19,19,
,Colón,Río Ceballos,14021230,,5.510,- 0,4,,2,,444,7.010,
,Colón,Saldán,14021240,,4.193,- 0,73,,- 0,- 0,,,
CORDOBA,Colón,Salsipuedes,,891,467,- 0,,- 0,- 0,- 0,387,,
CORDOBA,,,14021280,2.198,,,905,- 0,,,603,4.579,
CORDOBA,Colón,,14021290,1,6.366,,1.885,4,- 0,- 0,345,8.601,
CORDOBA,Colón,Villa Cerro Azul,,75,- 0,- 0,,- 0,- 0,- 0,,,
,Colón,Villa El Fachinal - Parque Norte - Guiñazú Norte,,,- 0,- 0,,,1,- 0,,389,
CORDOBA,Colón,Villa Los Llanos - Juárez Celman,,508,- 0,- 0,,- 0,- 0,,360,1.367,
,Colón,Dumesnil,14021270,,- 0,- 0,34,,- 0,- 0,- 0,34,
CORDOBA,Colón,,14021210,- 0,- 0,,5,- 0,- 0,- 0,,5,
CORDOBA,,,14028010,- 0,,- 0,- 0,6,,- 0,1,,
CORDOBA,,Bañado de Soto,14028020,- 0,,- 0,- 0,- 0,,- 0,8,8,
CORDOBA,,,14028030,- 0,,,- 0,- 0,,,2,2,
,Cruz del Eje,Cruz de Caña,14028040,,- 0,- 0,- 0,,- 0,- 0,2,,
,Cruz del Eje,Cruz del Eje,,,1.733,- 0,,,- 0,- 0,,,
CORDOBA,Cruz del Eje,,14028060,- 0,,,1,- 0,- 0,,65,66,
CORDOBA,,Guanaco Muerto,14028080,- 0,,- 0,- 0,- 0,,- 0,17,17,
,Cruz del Eje,La Banda,,,- 0,- 0,- 0,,1,- 0,,1,
CORDOBA,Cruz del Eje,La Batea,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
CORDOBA,,La Higuera,14028110,18,,- 0,- 0,- 0,,,2,20,
CORDOBA,Cruz del Eje,,14028130,- 0,- 0,,1,- 0,- 0,,176,177,
CORDOBA,,,14028140,- 0,,,1,- 0,,- 0,,,
CORDOBA,,Media Naranja,14028150,- 0,,- 0,- 0,- 0,,- 0,,60,
,Cruz del Eje,Paso Viejo,,,- 0,- 0,,,- 0,- 0,21,93,
,Cruz del Eje,San Marcos Sierra,14028170,,16,- 0,429,,- 0,,199,644,
CORDOBA,,Serrezuela,14028180,102,,- 0,10,- 0,,- 0,,,
CORDOBA,Cruz del Eje,,14028190,- 0,- 0,,- 0,- 0,,- 0,3,,
CORDOBA,,Villa de Soto,14028200,625,,- 0,341,- 0,,- 0,,1.261,
CORDOBA,General Roca,,14035010,1.050,,,- 0,- 0,1,- 0,,,
,General Roca,Hipólito Bouchard,14035030,,- 0,- 0,- 0,,1,,- 0,1,
CORDOBA,General Roca,Huinca Renancó,,572,- 0,1,,,- 0,- 0,1.097,2.964,
CORDOBA,General Roca,ITALÓ,,- 0,- 0,- 0,,171,- 0,- 0,,,
,General Roca,Nicolás Bruzzone,,,- 0,- 0,,,- 0,- 0,,91,
CORDOBA,General Roca,,14035090,- 0,- 0,,- 0,9,- 0,,- 0,9,
CORDOBA,,,14035120,- 0,,,2,- 0,,,1.099,1.901,
,General Roca,Villa Valeria,14035140,,- 0,- 0,- 0,,1,- 0,,849,
CORDOBA,General Roca,Santa Magdalena (Est. Jovita),,- 0,1.666,- 0,,- 0,- 0,- 0,82,,
CORDOBA,General San Martín,,14042020,4,393,,2,- 0,,,276,676,
CORDOBA,,Ausonia,14042030,- 0,,- 0,1,- 0,,- 0,- 0,1,
CORDOBA,General San Martín,Chazón,,,388,- 0,,- 0,- 0,- 0,,,
,General San Martín,Etruria,14042050,,1,- 0,- 0,,1,- 0,- 0,,
,General San Martín,La Laguna,,,- 0,- 0,,,- 0,- 0,- 0,524,
CORDOBA,General San Martín,La Playosa,,650,- 0,- 0,,- 0,1,,70,721,
CORDOBA,,,14042110,- 0,,,1,- 0,,- 0,- 0,,
CORDOBA,General San Martín,,14042130,150,- 0,,- 0,- 0,- 0,- 0,,215,
CORDOBA,General San Martín,Ticino,,- 0,663,- 0,,- 0,2,,- 0,671,
,General San Martín,Tío Pujio,,,- 0,- 0,2,,- 0,,53,622,
,General San Martín,Villa María,14042170,,15.284,- 0,10.543,,1,- 0,,30.204,
,General San Martín,Villa Nueva,,,2.288,- 0,,,1,- 0,993,,
CORDOBA,,Arroyo Algodón,14042010,- 0,,- 0,1,- 0,,,- 0,1,
CORDOBA,,,14049030,- 0,,,- 0,- 0,,- 0,102,104,
CORDOBA,Ischilín,,14049040,- 0,- 0,,- 0,- 0,- 0,- 0,12,,
CORDOBA,,Deán Funes,14049050,1.950,,- 0,263,- 0,,- 0,,,
CORDOBA,Ischilín,Esquina del Alambre,,- 0,- 0,- 0,,- 0,- 0,- 0,1,1,
,Ischilín,Olivares de San Nicolás,,,- 0,- 0,,,- 0,,1,1,
CORDOBA,,,14049100,205,,,94,- 0,,- 0,,299,
CORDOBA,Ischilín,,14049130,- 0,- 0,,36,- 0,- 0,- 0,,,
,Juárez Celman,Alejandro Roca (Est. Alejandro),,,- 0,- 0,,,- 0,,235,674,
,Juárez Celman,Bengolea,14056030,,- 0,- 0,269,,- 0,,- 0,269,
CORDOBA,,,14056040,129,,,505,23,,- 0,,880,
CORDOBA,,Charras,14056050,- 0,,- 0,1,- 0,,- 0,,,
CORDOBA,,General Cabrera,14056070,986,,,- 0,- 0,,- 0,- 0,986,
CORDOBA,Juárez Celman,,14056080,10,1.126,,3.464,- 0,- 0,,- 0,4.600,
,Juárez Celman,Huanchillas,14056090,,- 0,- 0,11,,- 0,- 0,,,
CORDOBA,Juárez Celman,La Carlota,,986,- 0,- 0,,- 0,- 0,- 0,,986,
CORDOBA,Juárez Celman,,14056110,2,165,,- 0,- 0,- 0,,- 0,167,
CORDOBA,,,14056120,- 0,,,- 0,- 0,,- 0,- 0,65,
CORDOBA,,,14056150,- 0,,,- 0,- 0,,- 0,,,
CORDOBA,,Ucacha,14056160,143,,- 0,1,- 0,,- 0,,1.950,
,Juárez Celman,Villa Reducción,,,- 0,- 0,,,- 0,- 0,232,232,
,Marcos Juárez,Alejo Ledesma,14063010,,- 0,- 0,1,,3,,79,83,
,Marcos Juárez,Arias,14063020,,- 0,- 0,- 0,,- 0,- 0,,493,
CORDOBA,Marcos Juárez,Camilo Aldao,,1.155,- 0,- 0,,- 0,1,- 0,,,
CORDOBA,,,14063070,- 0,,,- 0,31,,,10,199,
CORDOBA,Marcos Juárez,,14063090,752,4.591,,1.027,1.796,- 0,,46,8.212,
CORDOBA,Marcos Juárez,Cruz Alta,,669,- 0,- 0,,- 0,1,- 0,- 0,,
,Marcos Juárez,General Baldissera,,,- 0,- 0,,,1,- 0,,452,
CORDOBA,,General Roca,14063120,1.127,,- 0,1,- 0,,- 0,- 0,1.130,
CORDOBA,,,14063130,170,,,601,596,,,30,1.398,
,Marcos Juárez,Inriville,14063140,,- 0,- 0,- 0,,- 0,- 0,89,,
,Marcos Juárez,Isla Verde,,,262,- 0,,,- 0,- 0,,,
CORDOBA,Marcos Juárez,Leones,,167,2.548,- 0,,- 0,- 0,,23,2.739,
,Marcos Juárez,Los Surgentes,,,- 0,- 0,6,,1,- 0,- 0,764,
CORDOBA,Marcos Juárez,,14063180,652,9.716,,2,- 0,- 0,- 0,,10.609,
CORDOBA,,Monte Buey,14063190,1.563,,- 0,- 0,- 0,,- 0,- 0,,
,Marcos Juárez,Villa Elisa,,,- 0,12,,,- 0,,- 0,1.043,
CORDOBA,Marcos Juárez,Saira,,234,- 0,- 0,,- 0,- 0,,- 0,234,
,Marcos Juárez,Capitán General Bernardo O'Higgins,,- 0,- 0,- 0,,- 0,- 0,- 0,141,,
,Marcos Juárez,Cavanagh,14063050,,- 0,- 0,- 0,,- 0,- 0,,322,
CORDOBA,Minas,,14070010,- 0,- 0,,1,- 0,- 0,- 0,64,65,
CORDOBA,,La Playa,14070050,- 0,,- 0,- 0,- 0,,,53,53,
CORDOBA,,,14070060,204,,,2,- 0,,- 0,,,
CORDOBA,Minas,,14070080,- 0,- 0,,- 0,- 0,- 0,- 0,27,,
,Minas,El Chacho,,,- 0,- 0,,,- 0,,173,174,
CORDOBA,Minas,Estancia de Guadalupe,,- 0,- 0,- 0,,- 0,- 0,- 0,35,35,
