,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
BUENOS AIRES,,,6084020,782,,,563,4,,- 0,,1.517,
BUENOS AIRES,Benito Juárez,López,,- 0,- 0,- 0,,- 0,- 0,- 0,12,16,
,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),,,- 0,- 0,,,1,,100,121,
,Berazategui,Berazategui,6091010,,18.057,42,24.092,,4,- 0,,,
BUENOS AIRES,Berazategui,Berazategui Oeste,,16,79,- 0,,- 0,- 0,- 0,- 0,,
BUENOS AIRES,,Carlos Tomás Sourigues,6091010,17,,- 0,1.605,- 0,,,- 0,3.107,
BUENOS AIRES,,,6091010,2.031,1.291,,- 0,- 0,- 0,- 0,16,3.338,
,Berazategui,Guillermo E. Hudson,,,6.657,2,,,- 0,- 0,,,
,Berazategui,Juan María Gutierrez,6091010,,2.376,4,3.072,,- 0,- 0,,5.997,
BUENOS AIRES,Berazategui,Pereyra,,9,236,1,,,- 0,,- 0,556,
,Berazategui,Plátanos,6091010,,1.960,- 0,2.161,,- 0,- 0,- 0,4.122,
BUENOS AIRES,Berazategui,,6091010,39,,,7.344,- 0,1,- 0,,10.359,
BUENOS AIRES,,Villa España,6091010,2,,- 0,2.040,- 0,,- 0,- 0,,
BUENOS AIRES,,,6098010,4.198,,,6.195,29,,- 0,368,23.278,
BUENOS AIRES,Berisso,,6098010,- 0,- 0,,132,- 0,- 0,,250,382,
,Berisso,Barrio El Carmen (Este),,,- 0,- 0,,,- 0,- 0,250,,
BUENOS AIRES,Berisso,Villa Arguello,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
BUENOS AIRES,Berisso,,6098010,- 0,- 0,,132,- 0,- 0,,250,382,
BUENOS AIRES,,,Sin Datos,- 0,,- 0,1,- 0,,- 0,- 0,2,
,Bolívar,Pirovano,6105050,,- 0,- 0,- 0,,- 0,- 0,,95,
,Bolívar,San Carlos de Bolívar  (Est. Bolívar),,,5.122,2,,- 0,- 0,- 0,255,,
BUENOS AIRES,,Urdampilleta,6105070,- 0,,6,2,6,,,71,85,
BUENOS AIRES,Bolívar,,6105040,- 0,- 0,,- 0,- 0,,,- 0,1,
BUENOS AIRES,Bolívar,,6105010,10,- 0,,- 0,- 0,- 0,- 0,,,
BUENOS AIRES,,,6112010,674,,,45,- 0,,- 0,,5.148,
BUENOS AIRES,Bragado,General O'Brien,,321,- 0,- 0,,- 0,- 0,,31,435,
,Bragado,Irala,,,3,- 0,,,- 0,,22,25,
BUENOS AIRES,,Mechita (Est. Mecha),6112070,10,,- 0,- 0,- 0,,- 0,,,
BUENOS AIRES,Bragado,,6112090,135,- 0,,- 0,9,- 0,- 0,7,,
BUENOS AIRES,Bragado,Comodoro Py,,- 0,- 0,- 0,,,- 0,,2,222,
,Bragado,Olascoaga,6112080,,- 0,- 0,- 0,,- 0,,40,40,
BUENOS AIRES,Brandsen,,6119050,1.805,,,1.480,2,- 0,- 0,1.135,,
BUENOS AIRES,,Jeppener,6119070,676,,- 0,2,- 0,,- 0,,678,
BUENOS AIRES,,,6126030,2.242,,,8.700,18,,,43,28.452,
BUENOS AIRES,Campana,,6126040,- 0,50,,- 0,- 0,- 0,,- 0,50,
,Campana,Alto Los Cardales,,,- 0,- 0,,,- 0,- 0,,121,
BUENOS AIRES,Campana,Barrio Los Pioneros,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
BUENOS AIRES,Campana,,6126035,- 0,- 0,,- 0,- 0,- 0,- 0,35,35,
BUENOS AIRES,,,6134010,206,,7,- 0,- 0,,,42,1.085,
,Cañuelas,Barrio El Taladro,6134020,,- 0,- 0,- 0,,- 0,- 0,5,,
BUENOS AIRES,Cañuelas,Cañuelas,,,5.116,33,,- 0,1,- 0,,,
BUENOS AIRES,,Máximo Paz,6134050,- 0,,- 0,2,- 0,,- 0,270,2.964,
BUENOS AIRES,Cañuelas,,6134060,- 0,- 0,,- 0,- 0,,,233,235,
BUENOS AIRES,Cañuelas,,6134070,60,- 0,,403,- 0,- 0,- 0,,,
BUENOS AIRES,,,6134080,228,,,- 0,- 0,,- 0,25,,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,,- 0,- 0,- 0,,- 0,- 0,,48,48,
,Cañuelas,Gobernador Udaondo,,,- 0,- 0,,,- 0,- 0,20,20,
BUENOS AIRES,,Capitán Sarmiento,6140010,180,,- 0,- 0,- 0,,- 0,,,
BUENOS AIRES,Capitán Sarmiento,,6140020,- 0,- 0,,- 0,- 0,- 0,- 0,,44,
BUENOS AIRES,,,6147020,- 0,,,- 0,1,,- 0,48,49,
BUENOS AIRES,,Carlos Casares,6147030,1.425,,8,1.477,- 0,,,2.461,5.380,
,Carlos Casares,La Sofía,,,- 0,- 0,,,- 0,- 0,1,,
,Carlos Casares,Moctezuma,6147080,,- 0,- 0,- 0,,- 0,- 0,,,
,Carlos Casares,Santo Tomás,6147095,,- 0,- 0,,,- 0,,44,44,
BUENOS AIRES,Carlos Casares,Smith,,- 0,- 0,- 0,,- 0,- 0,- 0,191,191,
BUENOS AIRES,,Mauricio Hirsch,6147070,- 0,,- 0,- 0,- 0,,- 0,,,
BUENOS AIRES,Carlos Casares,,6147010,- 0,- 0,,- 0,- 0,- 0,- 0,- 0,,
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,,15,476,1,,- 0,- 0,,1.188,1.748,
,Carlos Tejedor,Colonia Seré,,,- 0,- 0,,,- 0,,81,81,
BUENOS AIRES,,Tres Algarrobos  (Est. Cuenca),6154050,- 0,,- 0,- 0,- 0,,- 0,,,
BUENOS AIRES,,,6154030,- 0,,,- 0,- 0,,- 0,,16,
,Carlos Tejedor,Timote,6154040,,- 0,- 0,- 0,,- 0,,61,61,
,Carmen de Areco,Carmen de Areco,,,1.707,5,,,- 0,,905,3.006,
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,,- 0,- 0,- 0,,- 0,- 0,- 0,,31,
,Carmen de Areco,Tres Sargentos,6161030,,- 0,- 0,- 0,,- 0,- 0,107,,
BUENOS AIRES,Castelli,,6168010,67,1.109,,1.121,- 0,2,,28,2.327,
BUENOS AIRES,,,6168020,- 0,,,46,- 0,,,3,49,
,Castelli,Cerro De La Gloria,,,- 0,- 0,,,- 0,- 0,- 0,,
BUENOS AIRES,Chacabuco,Castilla,,- 0,- 0,- 0,,- 0,- 0,- 0,,274,
,Chacabuco,Chacabuco,6210020,,9.896,16,14,,- 0,,2,10.869,
,Chacabuco,O'Higgins,,,95,- 0,,,- 0,,12,161,
BUENOS AIRES,,Rawson,6210050,73,,- 0,303,28,,- 0,,532,
BUENOS AIRES,,,6217010,2.159,,,1.159,85,,- 0,- 0,,
BUENOS AIRES,Chascomús,,6217020,104,1.718,,- 0,- 0,- 0,444,- 0,2.266,
BUENOS AIRES,,,6217020,- 0,,,132,- 0,,,- 0,132,
